manufacturer,type,cc,engine,start,end,brand,name,oid,sid,comment
宝马 (华晨宝马),5 (E60),3.0 (530Li),N 52 B 30 BF,2007/3/1,2010/5/1,Ruville,附件张紧器,11287530314,55066,附件系
宝马 (华晨宝马),3 (E90),2.5 (325i),N 52 B 25,2005/6/1,2012/9/1,Ruville,惰轮,11287535860,55067,附件系
宝马 (华晨宝马),5 (E60),2.5 (523Li),N 52 B 25,2006/11/1,2010/8/1,Ruville,惰轮,11287535860,55067,附件系
宝马 (华晨宝马),5 (E60),2.5 (525Li),/,2007/1/1,2010/4/1,Ruville,惰轮,11287535860,55067,附件系
宝马 (华晨宝马),5 (E60),3.0 (530Li),N 52 B 30 BF,2007/3/1,2010/5/1,Ruville,惰轮,11287535860,55067,附件系
宝马 (华晨宝马),3 (E46),2.0 (318i),N46B20CA,2004/6/1,2005/6/1,Ruville,惰轮,11287511474,55074,附件系
宝马 (华晨宝马),3 (E46),2.0 (318i),N46B20CA,2004/6/1,2005/6/1,Ruville,附件张紧器,11287524267,55075,附件系
宝马 (华晨宝马),3 (E90),2.0 (320i),N 46 B 20,2005/1/1,2007/12/1,Ruville,附件张紧器,11287524267,55075,附件系
宝马 (华晨宝马),3 (E46),2.0 (318i),N46B20CA,2004/6/1,2005/6/1,Ruville,惰轮,11281440378,55078,附件系
宝马 (华晨宝马),3 (E90),2.0 (320i),N 46 B 20,2005/1/1,2007/12/1,Ruville,惰轮,11281440378,55078,附件系
奔驰 (北京奔驰),C-系列 (W204),1.8 (C200),M 271.950,2008/3/1,-,Ruville,附件张紧器,271 200 0270,55161,附件系
奔驰 (北京奔驰),E-系列 (W211),1.8 (E200),M 271.941,2005/11/1,-,Ruville,附件张紧器,271 200 0270,55161,附件系
奔驰 (北京奔驰),E-系列 (W211),1.8 (E200),M 271.956,2006/9/1,-,Ruville,附件张紧器,271 200 0270,55161,附件系
奔驰 (北京奔驰),C-系列 (W204),1.8 (C200),M 271.950,2008/3/1,-,Ruville,惰轮,271 206 0019,55162,附件系
奔驰 (北京奔驰),E-系列 (W211),1.8 (E200),M 271.941,2005/11/1,-,Ruville,惰轮,271 206 0019,55162,附件系
奔驰 (北京奔驰),E-系列 (W211),1.8 (E200),M 271.956,2006/9/1,-,Ruville,惰轮,271 206 0019,55162,附件系
奔驰 (北京奔驰),C-系列 (W204),2.5 (C230),M 272.921,2008/5/1,2009/10/1,Ruville,张紧器,272 200 0114,55176,附件系
奔驰 (北京奔驰),E-系列 (W211),2.5 (E230),M 272.922,2005/11/1,-,Ruville,张紧器,272 200 0114,55176,附件系
奔驰 (北京奔驰),C-系列 (W204),3.0 (C280),M 272.947,2008/3/1,2009/1/1,Ruville,张紧器,272 200 0114,55176,附件系
奔驰 (北京奔驰),E-系列 (W211),3.0 (E280),M 272.943,2005/11/1,-,Ruville,张紧器,272 200 0114,55176,附件系
奔驰 (北京奔驰),E-系列 (W211),3.5 (E350),M 272.964,2005/11/1,-,Ruville,张紧器,272 200 0114,55176,附件系
奔驰 (北京奔驰),C-系列 (W204),2.5 (C230),M 272.921,2008/5/1,2009/10/1,Ruville,惰轮,272 202 0719,55180,附件系
奔驰 (北京奔驰),E-系列 (W211),2.5 (E230),M 272.922,2005/11/1,-,Ruville,惰轮,272 202 0719,55180,附件系
奔驰 (北京奔驰),C-系列 (W204),3.0 (C280),M 272.947,2008/3/1,2009/1/1,Ruville,惰轮,272 202 0719,55180,附件系
奔驰 (北京奔驰),E-系列 (W211),3.0 (E280),M 272.943,2005/11/1,-,Ruville,惰轮,272 202 0719,55180,附件系
奔驰 (北京奔驰),E-系列 (W211),3.5 (E350),M 272.964,2005/11/1,-,Ruville,惰轮,272 202 0719,55180,附件系
福特 (长安福特马自达),嘉年华,1.3,C13A9J2,2003/3/1,2006/6/1,Ruville,惰轮,1089875,55244,附件系
福特 (长安福特马自达),嘉年华,1.3,C13A9J2,2003/3/1,2006/6/1,Ruville,惰轮,1139951,55244,附件系
福特 (长安福特马自达),嘉年华,1.6,JL482QA,2003/3/1,2006/6/1,Ruville,惰轮,1139951,55244,附件系
福特 (长安福特马自达),麦柯斯,2.3,/,2007/1/1,-,Ruville,附件张紧器,1371224,55252,附件系
福特 (长安福特马自达),蒙迪欧,2.3,/,2007/9/1,-,Ruville,附件张紧器,1371224,55252,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,Ruville,附件张紧器,1127103,55252,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,Ruville,附件张紧器,1306666,55252,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2007/9/1,-,Ruville,附件张紧器,1371224,55252,附件系
福特 (长安福特马自达),麦柯斯,2.3,/,2007/1/1,-,Ruville,惰轮,1374385,55286,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,Ruville,惰轮,1119938,55286,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2003/5/1,-,Ruville,惰轮,1S7Q19A216AB,55286,附件系
福特 (长安福特马自达),蒙迪欧,2.0,LF-DE,2007/9/1,-,Ruville,惰轮,1S7Q19A216AB,55286,附件系
马自达 (一汽马自达),6,2.3,L3X,2003/4/1,-,Ruville,附件张紧器,LF17-15-980A,55289,附件系
马自达 (一汽马自达),6,2.3,L3X,2003/4/1,-,Ruville,附件张紧器,LF17-15-980D,55289,附件系
马自达 (一汽马自达),6,2.3,L3X,2003/4/1,-,Ruville,附件张紧器,LFG1-15-980B,55289,附件系
马自达 (一汽马自达),6,2.0,LFX,2003/4/1,-,Ruville,附件张紧器,LF17-15-980A,55289,附件系
马自达 (一汽马自达),6,2.0,LFX,2003/4/1,-,Ruville,附件张紧器,LF17-15-980D,55289,附件系
马自达 (一汽马自达),6,2.0,LFX,2003/4/1,-,Ruville,附件张紧器,LFG1-15-980B,55289,附件系
马自达 (一汽马自达),6,2.0,LFD,2003/4/1,-,Ruville,附件张紧器,LF17-15-980A,55289,附件系
马自达 (一汽马自达),6,2.0,LFD,2003/4/1,-,Ruville,附件张紧器,LFG1-15-980B,55289,附件系
马自达 (一汽马自达),6,2.0,LFX,2003/7/1,-,Ruville,附件张紧器,LF17-15-980D,55289,附件系
福特 (长安福特马自达),麦柯斯,2.3,/,2007/1/1,-,Ruville,惰轮,1387066,55290,附件系
雪佛兰 (上海通用-雪佛兰),赛欧,1.6,L01,2005/2/1,2007/12/1,Ruville,张紧轮,9202478,55302,正时系
别克 (上海通用-别克),凯越,1.8,T18SED,2003/8/1,2008/5/1,Ruville,张紧轮,9158004,55306,正时系
雪佛兰 (上海通用-雪佛兰),景程,2.0,L34,2006/4/1,2009/9/1,Ruville,张紧轮,9158004,55306,正时系
雪佛兰 (上海通用-雪佛兰),景程,2.0,T20SED,2006/4/1,2009/9/1,Ruville,张紧轮,9158004,55306,正时系
别克 (上海通用-别克),凯越,1.8,T18SED,2003/8/1,2008/5/1,Ruville,惰轮,9128738,55314,正时系
别克 (上海通用-别克),君威 I,2.0,L34,2003/2/1,2008/12/1,Ruville,惰轮,93307189,55314,正时系
雪佛兰 (上海通用-雪佛兰),景程,2.0,L34,2006/4/1,2009/9/1,Ruville,惰轮,9128738,55314,正时系
雪佛兰 (上海通用-雪佛兰),景程,2.0,T20SED,2006/4/1,2009/9/1,Ruville,惰轮,9128738,55314,正时系
雪佛兰 (上海通用-雪佛兰),开拓者,2.3,LG1,2001/8/1,2004/8/1,Ruville,张紧轮,9158003,55315,正时系
雪佛兰 (上海通用-雪佛兰),赛欧,1.6,L01,2005/2/1,2007/12/1,Ruville,惰轮,93297272,55318,附件系
别克 (上海通用-别克),凯越,1.8,T18SED,2003/8/1,2008/5/1,Ruville,附件张紧器,96459042,55320,附件系
别克 (上海通用-别克),君威 I,2.0,L34,2003/2/1,2008/12/1,Ruville,附件张紧器,90502129,55320,附件系
雪佛兰 (上海通用-雪佛兰),赛欧,1.6,L01,2005/2/1,2007/12/1,Ruville,附件张紧器,24412292,55320,附件系
雪佛兰 (上海通用-雪佛兰),科帕奇,2.4,LE5,2007/8/1,-,Ruville,附件张紧器,96435138,55320,附件系
雪佛兰 (上海通用-雪佛兰),景程,2.0,L34,2006/4/1,2009/9/1,Ruville,附件张紧器,96459042,55320,附件系
雪佛兰 (上海通用-雪佛兰),景程,2.0,T20SED,2006/4/1,2009/9/1,Ruville,附件张紧器,96459042,55320,附件系
别克 (上海通用-别克),君威 I,2.0,L34,2003/2/1,2008/12/1,Ruville,张紧轮,90528603,55342,正时系
别克 (上海通用-别克),君越,2.4,LE5,2006/3/1,2009/7/1,Ruville,附件张紧器,24430296,55343,附件系
别克 (上海通用-别克),英朗 GT,1.6,LDE,2010/6/1,-,Ruville,张紧轮,55574864,55351,正时系
别克 (上海通用-别克),英朗 XT,1.6,LDE,2010/1/1,-,Ruville,张紧轮,55574864,55351,正时系
别克 (上海通用-别克),英朗 GT,1.8,2H0,2010/6/1,-,Ruville,张紧轮,55574864,55351,正时系
别克 (上海通用-别克),君威 II,1.6 T,/,2009/9/1,-,Ruville,张紧轮,55562218,55351,正时系
别克 (上海通用-别克),英朗 GT,1.6 T,/,2010/6/1,-,Ruville,张紧轮,55562218,55351,正时系
别克 (上海通用-别克),英朗 XT,1.6 T,/,2010/1/1,-,Ruville,张紧轮,55562218,55351,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6,LDE,2009/4/1,-,Ruville,张紧轮,55570289,55351,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6,LDE,2009/4/1,-,Ruville,张紧轮,55574864,55351,正时系
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,/,2011/5/1,-,Ruville,张紧轮,55574864,55351,正时系
雪佛兰 (上海通用-雪佛兰),景程,1.8,2H0,2009/10/1,-,Ruville,张紧轮,55570289,55351,正时系
雪佛兰 (上海通用-雪佛兰),景程,1.8,2H0,2009/10/1,-,Ruville,张紧轮,55574864,55351,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.8,2H0,2009/4/1,-,Ruville,张紧轮,55570289,55351,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.8,2H0,2009/4/1,-,Ruville,张紧轮,55574864,55351,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6 T,/,2010/11/1,-,Ruville,张紧轮,55574864,55351,正时系
别克 (上海通用-别克),英朗 GT,1.6,LDE,2010/6/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),英朗 XT,1.6,LDE,2010/1/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),英朗 GT,1.8,2H0,2010/6/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),君威 II,1.6 T,/,2009/9/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),英朗 GT,1.6 T,/,2010/6/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),英朗 XT,1.6 T,/,2010/1/1,-,Ruville,惰轮,24436052,55356,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6,LDE,2009/4/1,-,Ruville,惰轮,24436052,55356,正时系
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,/,2011/5/1,-,Ruville,惰轮,24436052,55356,正时系
雪佛兰 (上海通用-雪佛兰),景程,1.8,2H0,2009/10/1,-,Ruville,惰轮,24436052,55356,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.8,2H0,2009/4/1,-,Ruville,惰轮,24436052,55356,正时系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6 T,/,2010/11/1,-,Ruville,惰轮,24436052,55356,正时系
别克 (上海通用-别克),英朗 XT,1.6,LDE,2010/1/1,-,Ruville,附件张紧器,55563512,55357,附件系
别克 (上海通用-别克),君威 II,1.6 T,/,2009/9/1,-,Ruville,附件张紧器,55563512,55357,附件系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6,LDE,2009/4/1,-,Ruville,附件张紧器,55563512,55357,附件系
雪佛兰 (上海通用-雪佛兰),乐骋,1.6,/,2011/5/1,-,Ruville,附件张紧器,55563512,55357,附件系
雪佛兰 (上海通用-雪佛兰),景程,1.8,2H0,2009/10/1,-,Ruville,附件张紧器,55563512,55357,附件系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.8,2H0,2009/4/1,-,Ruville,附件张紧器,55563512,55357,附件系
雪佛兰 (上海通用-雪佛兰),科鲁兹,1.6 T,/,2010/11/1,-,Ruville,附件张紧器,55563512,55357,附件系
别克 (上海通用-别克),GL8 陆尊,2.5,LB8,2005/11/1,2010/11/1,Ruville,附件张紧器,12563083,55359,附件系
别克 (上海通用-别克),君威 I,2.5,LB8,2002/12/1,2008/12/1,Ruville,附件张紧器,12563083,55359,附件系
别克 (上海通用-别克),GL8 陆尊,3.0,LW9,2005/7/1,2006/5/1,Ruville,附件张紧器,12563083,55359,附件系
别克 (上海通用-别克),君威 I,3.0,LW9,2002/10/1,2006/5/1,Ruville,附件张紧器,12563083,55359,附件系
雪佛兰 (上海通用-雪佛兰),开拓者,3.0,LW9,2002/1/1,2004/2/1,Ruville,附件张紧器,12563084,55360,附件系
别克 (上海通用-别克),君威 II,2.4,LE5,2008/12/1,-,Ruville,惰轮,12605492,55387,附件系
别克 (上海通用-别克),君威 II,2.4,LE5,2008/12/1,-,Ruville,附件张紧器,12605175,55387,附件系
别克 (上海通用-别克),君威 II,2.0,LDK,2009/6/1,-,Ruville,惰轮,12605492,55387,附件系
别克 (上海通用-别克),君威 II,2.0,LDK,2009/6/1,-,Ruville,附件张紧器,12605175,55387,附件系
大众 (上海大众),高尔,1.6,BHJ,2003/12/1,2005/2/1,Ruville,张紧轮,026109243G,55400,正时系
大众 (上海大众),桑塔纳,1.6,/,1996/8/1,-,Ruville,张紧轮,026109243E,55400,正时系
大众 (上海大众),桑塔纳,1.8,/,1996/8/1,-,Ruville,张紧轮,026109243E,55400,正时系
大众 (上海大众),桑塔纳,1.8,AFE,1996/8/1,-,Ruville,张紧轮,026109243E,55400,正时系
大众 (上海大众),桑塔纳,1.8,JV,1985/3/1,1996/8/1,Ruville,张紧轮,026109243E,55400,正时系
大众 (上海大众),桑塔纳2000,1.8,AFE,1996/4/1,2004/3/1,Ruville,张紧轮,026109243E,55400,正时系
大众 (上海大众),桑塔纳2000,1.8,JV,1995/4/1,2004/3/1,Ruville,张紧轮,026109243E,55400,正时系
大众 (一汽大众),捷达,1.6,ABX,1991/5/1,1999/12/1,Ruville,张紧轮,026109243E,55400,正时系
奥迪 (一汽奥迪),200,2.4,AFM,1998/9/1,1999/9/1,Ruville,张紧轮,078109243K,55419,正时系
奥迪 (一汽奥迪),200,2.6,ACZ,1995/11/1,1999/9/1,Ruville,张紧轮,078109243K,55419,正时系
大众 (上海大众),桑塔纳,1.6,/,1996/8/1,-,Ruville,张紧轮,026109243E,55421,正时系
大众 (上海大众),桑塔纳,1.8,/,1996/8/1,-,Ruville,张紧轮,026109243E,55421,正时系
大众 (上海大众),桑塔纳,1.8,AFE,1996/8/1,-,Ruville,张紧轮,026109243E,55421,正时系
大众 (上海大众),桑塔纳,1.8,JV,1985/3/1,1996/8/1,Ruville,张紧轮,026109243E,55421,正时系
大众 (上海大众),桑塔纳2000,1.8,AFE,1996/4/1,2004/3/1,Ruville,张紧轮,026109243E,55421,正时系
大众 (上海大众),桑塔纳2000,1.8,JV,1995/4/1,2004/3/1,Ruville,张紧轮,026109243E,55421,正时系
大众 (一汽大众),捷达,1.6,ABX,1991/5/1,1999/12/1,Ruville,张紧轮,026109243E,55421,正时系
奥迪 (一汽奥迪),200,2.4,AFM,1998/9/1,1999/9/1,Ruville,惰轮,078109244G,55422,正时系
奥迪 (一汽奥迪),200,2.6,ACZ,1995/11/1,1999/9/1,Ruville,惰轮,078109244G,55422,正时系
大众 (一汽大众),捷达,1.9 TDI,ALH,1998/8/1,2000/4/1,Ruville,惰轮,038109244M,55433,正时系
大众 (一汽大众),捷达,1.9 TDI,ALH,1998/8/1,2000/4/1,Ruville,惰轮,038145276,55434,附件系
奥迪 (一汽奥迪),200,1.8 T,ANZ,1998/5/1,1999/9/1,Ruville,张紧轮,058109243E,55440,正时系
奥迪 (一汽奥迪),200,1.8 T,ANZ,1998/5/1,1999/9/1,Ruville,惰轮,058109244,55441,正时系
奥迪 (一汽奥迪),A6L (C5),1.8,ANQ,2000/1/1,2005/12/1,Ruville,张紧轮,06B109243D,55442,正时系
奥迪 (一汽奥迪),A6 (C5),1.8 T,BGC,2006/7/1,2006/12/1,Ruville,张紧轮,06B109243D,55442,正时系
奥迪 (一汽奥迪),A6L (C5),1.8 T,AWL,2000/7/1,2005/12/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (上海大众),帕萨特 (B5),1.8,ANQ,2000/4/1,2003/2/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),宝来,1.6,/,2002/6/1,2004/10/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),宝来,1.8,BAF,2001/12/1,2006/12/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),宝来 HS,1.8,BAF,2006/10/1,2008/12/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),高尔夫,1.8,BAF,2003/7/1,2009/7/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),高尔夫,1.6,AWB,2003/8/1,2005/12/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (一汽大众),宝来,1.8 T,BAE,2001/12/1,2006/12/1,Ruville,张紧轮,06B109243D,55442,正时系
大众 (上海大众),波罗,1.6,BCD,2002/1/1,2006/1/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),桑塔纳2000,1.8,AYJ,1998/5/1,2004/3/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),桑塔纳3000,1.8,AYJ,2004/3/1,2007/10/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),桑塔纳3000,1.8,BKT,2005/6/1,2007/10/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),桑塔纳志俊,1.8,BKT,2008/1/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),朗逸,2.0,CEN,2008/4/1,-,Ruville,张紧轮,06A109479F,55443,正时系
大众 (上海大众),帕萨特 (B5),2.0,BFF,2003/2/1,2009/4/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),帕萨特领驭 (B5),2.0,BNL,2006/4/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),桑塔纳志俊,2.0,/,2008/1/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (上海大众),途安,2.0,/,2004/11/1,2008/1/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),宝来,1.6,BJH,2004/10/1,2006/9/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),宝来,1.6,BWH,2008/11/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),宝来 HS,1.6,/,2006/10/1,2008/12/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),高尔夫,1.6,BJH,2003/8/1,2005/1/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.6,ATK,1999/10/1,2000/4/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.6,ATK,2000/4/1,2004/10/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.6,BJG,2004/10/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.6,ABX,1991/5/1,1999/12/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),开迪,1.6,BRY,2005/3/1,2007/12/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),速腾,1.6,BWH,2006/2/1,-,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.6,BJG,1997/1/1,2000/4/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),迈腾 (B6),1.8 TSI,BYJ,2007/6/1,2011/7/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),捷达,1.9 TDI,ALH,1998/8/1,2000/4/1,Ruville,惰轮,058109244,55443,正时系
大众 (一汽大众),宝来,2.0,CEN,2008/11/1,2010/12/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),高尔夫,2.0,APK,2003/8/1,2005/12/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),迈腾,2.0,BJZ,2007/3/1,2008/5/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),速腾,2.0,BJZ,2006/4/1,2009/6/1,Ruville,张紧轮,06A109479C,55443,正时系
大众 (一汽大众),高尔夫,2.0 TSI,/,2010/3/1,-,Ruville,张紧轮,06A109479 C,55443,正时系
斯柯达 (上海大众-斯柯达),明锐,2.0,BXX,2007/6/1,2010/4/1,Ruville,张紧轮,06A109479C,55443,正时系
奥迪 (一汽奥迪),A4 (B6),2.4,BDV,2004/1/1,2005/7/1,Ruville,惰轮,078109244H,55453,正时系
奥迪 (一汽奥迪),A6L (C5),2.4,APS,1999/9/1,2005/12/1,Ruville,惰轮,078109244H,55453,正时系
奥迪 (一汽奥迪),A6L (C5),2.4,BDV,2002/6/1,2005/12/1,Ruville,惰轮,078109244H,55453,正时系
奥迪 (一汽奥迪),A6L (C5),2.8,BBG,2000/9/1,2005/7/1,Ruville,惰轮,078109244H,55453,正时系
奥迪 (一汽奥迪),A6 (C5),2.8,ATX,1999/9/1,2005/12/1,Ruville,惰轮,078109244H,55453,正时系
大众 (上海大众),帕萨特 (B5),2.8,BBG,2001/12/1,2006/12/1,Ruville,惰轮,078109244H,55453,正时系
大众 (上海大众),帕萨特领驭 (B5),2.8,BBG,2005/11/1,-,Ruville,惰轮,078109244H,55453,正时系
大众 (上海大众),波罗,1.4,BCC,2002/1/1,2006/3/1,Ruville,惰轮,036109244D,55455,正时系
大众 (上海大众),波罗,1.4,BCC,2003/6/1,2006/3/1,Ruville,惰轮,036109244D,55455,正时系
大众 (上海大众),波罗,1.4,BCC,2002/1/1,2006/3/1,Ruville,张紧轮,036109243AF,55456,正时系
大众 (上海大众),波罗,1.4,BCC,2003/6/1,2006/3/1,Ruville,张紧轮,036109243AF,55456,正时系
大众 (一汽大众),捷达,1.9 TDI,ALH,1998/8/1,2000/4/1,Ruville,惰轮,038109244E,55457,正时系
大众 (上海大众),波罗,1.4,BCC,2002/1/1,2006/3/1,Ruville,惰轮,036109181A,55458,正时系
大众 (上海大众),波罗,1.4,BCC,2003/6/1,2006/3/1,Ruville,惰轮,036109181A,55458,正时系
大众 (上海大众),波罗,1.4,BCC,2002/1/1,2006/3/1,Ruville,张紧轮,036109243AC,55461,正时系
大众 (上海大众),波罗,1.4,BCC,2003/6/1,2006/3/1,Ruville,张紧轮,036109243AC,55461,正时系
奥迪 (一汽奥迪),A6L (C5),1.8,ANQ,2000/1/1,2005/12/1,Ruville,张紧轮,058260511,55464,附件系
奥迪 (一汽奥迪),200,1.8 T,ANZ,1998/5/1,1999/9/1,Ruville,张紧轮,058260511,55464,附件系
奥迪 (一汽奥迪),A6L (C5),1.8 T,AWL,2000/7/1,2005/12/1,Ruville,张紧轮,058260511,55464,附件系
大众 (上海大众),帕萨特领驭 (B5),1.8,/,2009/1/1,-,Ruville,张紧轮,058260511,55464,附件系
大众 (上海大众),帕萨特领驭 (B5),1.8 T,/,2005/11/1,2009/4/1,Ruville,张紧轮,058260511,55464,附件系
大众 (上海大众),帕萨特 (B5),2.0,BFF,2003/2/1,2009/4/1,Ruville,张紧轮,058260511,55464,附件系
大众 (一汽大众),宝来,1.6,/,2002/6/1,2004/10/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来,1.6,BJH,2004/10/1,2006/9/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来 HS,1.6,/,2006/10/1,2008/12/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),高尔夫,1.6,BJH,2003/8/1,2005/1/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来,1.8,BAF,2001/12/1,2006/12/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来 HS,1.8,BAF,2006/10/1,2008/12/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),高尔夫,1.8,BAF,2003/7/1,2009/7/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),高尔夫,1.6,AWB,2003/8/1,2005/12/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来,1.8 T,BAE,2001/12/1,2006/12/1,Ruville,附件张紧器,038145299A,55480,附件系
大众 (一汽大众),宝来,1.9 TDI,ATD,2004/3/1,2006/12/1,Ruville,附件张紧器,038145299A,55480,附件系
