reseller,name,type,province,city,address,tel1,tel2,fax,products,carlines,comment
大连鑫顺恒利商贸有限公司,总部,总店,辽宁,大连,大连市甘井子区蓝天街50号,0411-86811188,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
昆明沈聚商贸有限公司(大连鑫顺恒利分公司）,,分店,云南,昆明,昆明市官渡区东聚小车汽配城D区3幢8号,0871-67265265,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
济南成之名商贸有限公司(大连鑫顺恒利分公司）,,分店,山东,济南,山东省济南市交校西路（幸福街）8号山东汽配城B1-35,0531-58687458,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
杭州博冠汽车配件销售有限公司(大连鑫顺恒利分公司）,,分店,浙江,杭州,杭州市拱墅区花园岗街111号金通汽配城27幢20号,0571-88101272  ,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
广州鑫宝行(大连鑫顺恒利分公司）,,分店,广东,广州,广州市越秀区云泉路19号南方汽配城B6档,020-37388442,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
成都成之名商贸有限公司(大连鑫顺恒利分公司）,,分店,四川,成都,成都市武侯区红牌楼长益路118号附18号,028-85567953 ,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
北京吉星恒利商贸有限公司(大连鑫顺恒利分公司）,,分店,北京,北京,北京市朝阳区南四环东路69号城环城国际汽配城东楼3A,010-51102262,,,LUK/INA/FAG,奔驰/宝马/沃尔沃/路虎,
上海天诺汽车零件有限公司,,总店,上海,上海,上海市闵行区曲吴路589号M15,021-34625919,,,LUK/INA/FAG/RUVILLE,大众/奥迪,
万景国际贸易（上海）有限公司,,总店,上海,上海,上海市闵行区虹梅南路3509弄88号D栋2楼,021-33505857,,,LUK/INA/FAG,欧美车型,
长春和众振兴贸易有限公司 ,,总店,吉林,长春,长春市汽车产业开发区正阳街汽贸城85栋113号,0431-88019818,,,LUK/INA/FAG/RUVILLE,大众/奥迪,
 广州裕德丰汽车配件有限公司,,总店,广东,广州,广州市白云大道北764号汇金商务楼,020-86395981,,,LUK/INA/FAG/RUVILLE,奔驰/宝马,
沈阳奉申华盛汽配有限公司（沈阳城内诚）,城内诚总店,总店,辽宁,沈阳,沈阳市铁西区北二西路26号30栋7门、8门（瑞盛汽配城）    ,024-85820166,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
沈阳鑫奉申汽车配件商行（沈阳城内诚分公司）,,分店,辽宁,沈阳,沈阳市铁西区沈新东路2-1号（沈阳西部汽配城二期A座网点3）,024-25761363,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
沈阳奉申华成汽配商行（沈阳城内诚分公司）,,分店,辽宁,沈阳,沈阳市铁西区沈新东路1号网点21,024-31222599,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
鞍山兴奉申汽配商行（沈阳城内诚分公司）,,分店,辽宁,鞍山,鞍山市铁西区兴盛路88号  ,0412-8553518,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
盘锦奉申汽车配件商行（沈阳城内诚分公司）,,分店,辽宁,盘锦,盘锦市兴隆台区泰山路207号 ,0427-2873015,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
长春奉申汽车配件商行（沈阳城内诚分公司）,,分店,吉林,长春,长春市正阳街汽贸城84栋204室,0431-87603166,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
大连奉申汽车配件商行二部（沈阳城内诚分公司）,,分店,辽宁,大连,大连市沙河口区不老街65-5  ,0411-83601233,,,LUK/INA/FAG/RUVILLE,奥迪/大众/法系/韩系,
成都市鑫蓉汽配有限责任公司,成都市鑫蓉汽配,总店,四川,成都,成都市武侯区红牌楼永丰场街222号三九佛兰汽配城C区221号,028-86372938,,,INA LUK FAG 路维,德系 法系 日系 美系 法系,
昆明新晟源商贸有限公司,昆明新晟源商贸有限公司,总店,云南,昆明,昆明市官渡区关雨路东聚汽配城B9幢17-20号,0871-67369879,,,INA LUK FAG,德系,
昆明航黔商贸有限公司,昆明航黔商贸有限公司,总店,云南,昆明,昆明市官渡区东聚小车汽配城A5幢21-22号 ,0871-67368134,,,INA LUK FAG 路维,德系,
重庆市博配汽车零部件有限公司,重庆大川博配,总店,重庆,重庆,重庆市九龙坡区石新路216号老顶坡汽配城4栋18.19号, 023-86189799,,,INA LUK FAG 路维,德系 法系 法系,
广州星氏汽配贸易有限公司,广州星氏汽配贸易有限公司,总店,广东,广州,广州市白云区三元里大道715号三元里安华汽配城C-02号,020-62652107,,,INA LUK FAG,国产,
成都市鑫畅达汽车零部件有限责任公司,成都大洋,总店,四川,成都,成都红牌楼三九汽配城A区5号,13699496898,,,INA LUK FAG 路维,德系,
成都市顺达尔商贸有限公司,成都途畅,总店,四川,成都,成都市武侯区红牌楼三九佛兰汽配城D区384号,13982035555,,,INA LUK FAG,德系,
广州市欣睿豪汽车配件有限公司,广州市欣睿豪汽车配件有限公司,总店,广东,广州,广州市白云区大金钟路长安南街4号301房,020-37369760,,,INA LUK FAG,沃尔沃,
贵州欧亚商贸有限公司,贵州欧亚商贸有限公司,总店,贵州,贵阳,贵阳市太慈桥升华汽配城D-1-32号,0851-5117197,,,INA LUK FAG,德系,
江苏康众实业投资有限公司,南京墨香店,分店,江苏,南京,玄武区墨香路30号墨香山庄11幢102,025-85401735,,,,,
江苏康众实业投资有限公司,南京宁南店,分店,江苏,南京,雨花台区软件大道20号宁南汽配城8幢2号,025-66618871,,,,,
江苏康众实业投资有限公司,南京贸易部,分店,江苏,南京,栖霞区仙林汽配城门面房6号,025-85352206,,,,,
江苏康众实业投资有限公司,南京浦口店,分店,江苏,南京,浦口区杨新路5号鑫庭雅苑18幢102,025-57012211,,,,,
江苏康众实业投资有限公司,南京河西店,分店,江苏,南京,建邺区黄山路怡康街70号,025- 83218489,,,,,
江苏康众实业投资有限公司,常州中吴大道店,分店,江苏,常州,天宁区中吴大道1335号南方汽配市场B区88-89号,0519-88011096,,,,,
江苏康众实业投资有限公司,溧阳店,分店,江苏,溧阳,溧阳市昆仑北路73-1-1号(正昌集团对面),0519-87385981,,,,,
江苏康众实业投资有限公司,连云港巨龙南路店,分店,江苏,连云港,新浦区巨龙南路香溢世纪花城东大门南99-2号,0518-85819812,,,,,
江苏康众实业投资有限公司,无锡广益店,分店,江苏,无锡,崇安区江海东路588号广益汽配城B区12－105、106号,0510-82263079,,,,,
江苏康众实业投资有限公司,扬州高力店,分店,江苏,扬州,邗江区高力汽配城B6-108,0514-87947113,,,,,
江苏康众实业投资有限公司,昆山跃进路店,分店,江苏,昆山,跃进路36-5号,0512-57750160,,,,,
江苏康众实业投资有限公司,太仓森茂店,分店,江苏,太仓,森茂汽车城6栋137号,0512-53831391,,,,,
江苏康众实业投资有限公司,南通永兴店,分店,江苏,南通,港闸区永兴国际车城20B5号,0513-85603690,,,,,
江苏康众实业投资有限公司,苏州胥江路店,分店,江苏,苏州,沧浪区胥江路487号汽配市场内,0512-67070545,,,,,
江苏康众实业投资有限公司,吴江笠泽路店,分店,江苏,吴江,笠泽路81号,0512-63969637,,,,,
江苏康众实业投资有限公司,镇江丁卯路店,分店,江苏,镇江,润州区丁卯桥路123号金茂苑2#102,0511-85115677,,,,,
江苏康众实业投资有限公司,盐城开放大道店,分店,江苏,盐城,亭湖区开放大道27号汽配城阳光汽配苑112号,0515-88216707,,,,,
江苏康众实业投资有限公司,宜兴店,分店,江苏,宜兴,融达汽车城5幢820号,0510-80767355,,,,,
江苏康众实业投资有限公司,淮安大同路店,分店,江苏,淮安,清河区大同路天山华庭25-15号,0517-83165760,,,,,
江苏康众实业投资有限公司,泰州南通路店,分店,江苏,泰州,海陵区南通路东河花苑3号楼9号,0523-86668060,,,,,
江苏康众实业投资有限公司,张家港城北店,分店,江苏,张家港,城北明日嘉园1幢M6、M7号,0512-58136831,,,,,
江苏康众实业投资有限公司,江阴橙杨路店,分店,江苏,江阴,澄杨路57号阳光汽配城3幢23号,0510-81607199,,,,,
江苏康众实业投资有限公司,江阴镇澄路店,分店,江苏,江阴,镇澄路52号,0510-86160401,,,,,
江苏康众实业投资有限公司,赣榆店,分店,江苏,连云港,赣榆县金海路36-3号,0518-86012098,,,,,
江苏康众实业投资有限公司,金湖店,分店,江苏,淮安,金湖县金湖东路金石机电城1期3幢104,0517-83308277,,,,,
江苏康众实业投资有限公司,新沂店,分店,江苏,徐州,新沂市苏北物流中心东区11-102,0516-88998156,,,,,
江苏康众实业投资有限公司,沭阳店,分店,江苏,宿迁,沭阳县苏北车市5幢东2号,0527-83602789,,,,,
江苏康众实业投资有限公司,邳州店,分店,江苏,徐州,邳州市镇北一路江南大酒店向西30米,0516-86231258,,,,,
江苏康众实业投资有限公司,南通海安店,分店,江苏,海安,海安县鑫来路53号,0513-88930223,,,,,
江苏康众实业投资有限公司,杭州万品店,分店,浙江,杭州,江干区沙经济开发区军富路22号华商物流园13号库(万品汽配城后),0571-87823345  ,,,,,
江苏康众实业投资有限公司,台州路桥店,分店,浙江,台州,路桥区路桥汽配城B3-46, 0576-82913930,,,,,
江苏康众实业投资有限公司,嘉兴中环西路店,分店,浙江,嘉兴,秀州区中环西路1173(洪兴路口向南200米),0573-82064671  ,,,,,
江苏康众实业投资有限公司,慈溪西二环路店,分店,浙江,慈溪,慈溪市西二环路256-258号(阳光小学对面), 0574-63072382,,,,,
江苏康众实业投资有限公司,诸暨恒龙店,分店,浙江,诸暨,诸暨市西二环路273号恒龙汽配用品城4幢113-114号,0575-87587780,,,,,
江苏康众实业投资有限公司,湖州杭长桥中路店,分店,浙江,湖州,吴兴区杭长桥中路99-(8-10)号,0572-2268171 ,,,,,
